Date,GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa),ET10(C),Rad(MJ/m2),SoilM(%)
1999-11-03,79,20.6,492,0.2,16.6,18.8,15.2,14.7,13.2,18.1,11.39,37.3
1999-11-04,56,19.8,748,103.8,16.5,17.4,15.0,15.0,13.2,16.9,2.12,63.7
1999-11-05,42,14.4,382,19.6,17.2,19.4,15.4,12.7,13.2,18.3,14.42,51.2
1999-11-06,22,13.1,363,7.8,18.1,22.4,13.8,11.3,13.2,19.5,25.52,39.7
1999-11-07,19,11.8,379,12.4,17.6,20.2,16.0,15.2,13.2,19.1,13.29,51.8
1999-11-08,17,11.6,342,0.0,18.3,21.8,16.0,14.0,13.2,19.5,20.3,41.9
1999-11-09,6,12.4,431,6.6,18.4,23.4,17.3,15.6,13.2,19.6,11.38,45.9
1999-11-10,356,20.5,636,18.0,18.5,24.9,17.1,16.8,13.2,18.9,5.28,49.3
1999-11-11,274,20.4,568,7.2,17.8,22.3,14.4,12.2,13.2,19.4,24.5,51.6
1999-11-12,254,20.1,644,6.8,14.5,18.4,12.1,10.4,13.2,17.1,20.65,50.3
1999-11-13,256,15.6,404,0.0,14.5,18.5,9.6,6.0,13.2,16.8,23.56,48.8
1999-11-14,221,8.2,168,2.8,13.5,20.0,7.8,4.8,13.2,16.5,16.64,40.5
1999-11-15,91,8.0,160,1.4,14.2,20.1,8.2,4.9,13.2,17.3,18.88,39.0
1999-11-16,20,12.2,299,0.0,15.4,21.0,8.7,5.2,13.2,18.7,29.9,38.2
1999-11-17,4,14.1,418,0.0,17.2,21.0,12.5,9.4,13.2,19.7,28.15,37.0
1999-11-18,13,12.2,338,6.2,16.6,18.5,14.6,14.2,13.2,18.5,10.31,35.5
1999-11-19,216,9.4,271,0.6,15.2,19.9,11.1,7.7,13.2,18.6,23.81,35.8
1999-11-20,241,13.7,325,5.2,12.7,16.9,8.4,5.2,13.2,17.2,22.47,36.3
1999-11-21,227,13.7,302,6.2,12.0,16.3,8.6,6.2,13.2,16.0,20.7,38.4
1999-11-22,211,12.4,326,5.2,12.9,17.9,7.7,3.0,13.2,15.8,23.67,44.0
1999-11-23,254,11.5,309,0.0,13.7,19.8,8.0,4.8,13.2,17.2,28.35,39.3
1999-11-24,286,9.9,249,0.0,13.2,18.1,6.7,3.8,13.2,16.9,16.08,37.3
1999-11-25,295,7.4,143,4.2,16.2,19.2,14.2,12.9,13.2,17.9,9.93,37.5
1999-11-26,38,10.9,361,1.2,17.5,21.3,14.7,12.8,13.2,19.5,25.25,37.5
1999-11-27,6,9.8,280,65.4,16.5,20.8,14.1,12.7,13.2,18.5,12.33,39.7
1999-11-28,249,15.4,391,22.8,13.6,16.9,9.1,6.5,13.2,17.1,21.11,51.9
1999-11-29,231,19.5,474,0.0,13.4,18.0,8.1,5.3,13.2,16.1,18.78,41.0
1999-11-30,222,9.9,254,0.0,14.9,20.1,8.8,5.8,13.2,17.9,23.89,38.3
1999-12-01,248,13.3,375,0.0,14.3,19.8,7.9,5.3,13.2,18.0,22.29,37.6
1999-12-02,214,12.5,362,0.0,15.7,18.7,13.0,11.0,13.2,17.9,12.0,36.9
1999-12-03,249,16.2,526,0.0,16.5,19.8,12.7,10.8,13.2,18.6,23.92,35.2
1999-12-04,207,12.5,386,0.0,17.7,22.3,14.7,14.5,13.2,21.0,29.37,33.0
1999-12-05,246,10.8,324,0.0,18.3,23.6,15.2,13.5,13.2,22.8,32.22,30.4
1999-12-06,231,9.8,310,0.0,17.7,22.4,13.9,12.2,13.2,22.3,25.99,28.6
1999-12-07,240,11.6,291,0.0,16.5,21.4,11.4,8.2,13.2,21.7,27.45,27.6
1999-12-08,217,9.6,220,0.0,14.7,20.7,9.2,5.0,13.2,21.0,24.99,26.2
1999-12-09,122,6.9,191,0.0,14.2,21.3,5.6,2.3,13.2,21.0,26.65,24.1
1999-12-10,270,9.9,263,0.0,15.2,21.6,7.6,5.1,13.2,21.2,30.5,21.9
1999-12-11,4,10.1,260,0.0,16.1,22.4,9.4,6.5,13.2,20.9,19.63,19.7
1999-12-12,264,13.1,377,0.8,19.2,22.3,16.6,14.8,13.2,21.2,17.03,18.9
1999-12-13,272,22.6,678,8.0,18.3,21.3,14.7,12.9,13.2,20.0,21.06,20.5
1999-12-14,228,21.6,773,0.4,15.5,18.2,12.8,10.9,13.2,18.4,29.15,17.7
1999-12-15,219,10.5,314,0.0,15.5,20.5,11.2,7.9,13.2,19.1,23.84,15.6
1999-12-16,233,10.3,280,0.0,15.1,19.9,9.4,6.4,13.2,19.3,18.15,14.3
1999-12-17,11,9.3,217,0.0,15.4,20.8,8.8,6.1,13.2,19.8,20.51,13.2
1999-12-18,7,11.0,312,0.0,17.1,21.8,9.8,8.3,13.2,20.1,19.02,12.2
1999-12-19,41,10.1,260,15.4,17.7,19.1,16.2,16.0,13.2,19.3,5.25,15.9
1999-12-20,222,10.0,299,0.5,16.7,20.5,13.9,12.5,13.2,19.2,19.91,16.9
1999-12-21,204,17.4,432,16.7,13.5,14.8,11.9,11.7,13.2,16.3,5.56,21.1
1999-12-22,226,18.5,598,0.0,16.1,19.4,13.1,9.7,13.2,17.1,21.81,22.0
1999-12-23,174,7.8,236,0.0,15.9,21.4,9.9,7.1,13.2,19.6,25.56,19.7
1999-12-24,197,7.4,202,0.3,15.7,20.5,10.8,8.2,13.2,20.1,20.62,18.5
1999-12-25,223,13.5,419,0.1,15.2,19.7,10.7,7.8,13.2,20.0,29.28,17.5
1999-12-26,165,10.6,319,0.0,15.3,20.2,11.4,8.2,13.2,19.9,23.57,15.4
1999-12-27,69,8.1,196,0.0,14.3,19.8,9.6,7.2,13.2,20.6,26.47,14.0
1999-12-28,74,8.5,220,0.0,14.7,20.1,7.8,5.0,13.2,20.9,26.76,12.6
1999-12-29,58,9.6,261,0.0,15.8,20.5,10.2,7.1,13.2,21.2,25.39,11.2
1999-12-30,40,11.5,339,0.1,15.9,20.7,10.3,7.1,13.2,20.8,23.24,10.0
1999-12-31,24,16.8,623,5.3,16.8,18.3,15.5,14.6,13.2,18.3,7.42,10.9
2000-01-01,225,15.0,238,9.8,19.8,25.8,16.3,13.3,13.2,21.0,20.53,15.5
2000-01-02,265,17.5,396,0.3,18.7,24.7,15.1,11.9,13.2,20.8,19.61,15.8
2000-01-03,244,14.9,488,3.0,16.2,20.0,13.2,11.0,13.2,19.2,21.0,14.9
2000-01-04,240,18.2,511,1.7,15.0,18.6,12.0,9.9,13.2,18.1,24.36,14.2
2000-01-05,218,10.7,328,0.0,16.5,21.5,11.9,8.3,13.2,19.7,27.07,13.5
2000-01-06,258,8.0,186,0.0,16.4,23.2,9.1,6.5,13.2,20.9,21.65,12.6
2000-01-07,256,9.1,195,0.0,18.1,22.8,14.5,12.6,13.2,22.0,19.69,11.9
2000-01-08,60,7.5,147,0.6,16.7,22.1,12.9,11.3,13.2,21.2,17.05,11.3
2000-01-09,67,8.4,210,0.0,17.6,22.9,12.4,10.8,13.2,22.8,28.99,10.8
2000-01-10,90,10.9,330,0.0,17.9,21.4,13.7,11.2,13.2,22.3,21.33,9.9
2000-01-11,69,13.9,468,0.3,17.5,20.5,15.0,12.9,13.2,21.3,22.24,9.0
2000-01-12,77,12.9,445,0.5,17.0,19.9,15.6,14.9,13.2,20.1,14.99,8.2
2000-01-13,72,11.5,370,0.0,17.3,21.2,12.2,8.8,13.2,20.7,20.9,7.8
2000-01-14,63,7.8,195,0.0,16.4,22.8,9.4,5.9,13.2,22.2,31.51,7.1
2000-01-15,100,8.4,243,0.0,16.9,22.2,11.1,9.7,13.2,21.8,20.47,6.5
2000-01-16,36,9.1,335,1.7,17.7,20.0,16.7,15.6,13.2,20.4,11.58,6.5
2000-01-17,243,8.4,178,1.1,18.7,23.8,15.0,11.6,13.2,22.1,20.52,6.8
2000-01-18,315,8.0,248,0.0,18.1,23.6,11.3,8.8,13.2,22.4,22.13,6.5
2000-01-19,17,9.2,170,6.2,17.1,22.2,13.7,11.3,13.2,20.9,11.71,7.5
2000-01-20,261,7.0,228,0.0,17.9,23.1,12.6,10.2,13.2,20.4,17.83,7.9
2000-01-21,251,6.6,148,0.0,17.4,22.8,10.7,8.2,13.2,20.3,13.77,7.1
2000-01-22,61,6.5,174,0.0,18.5,26.1,10.9,8.6,13.2,22.2,22.82,6.7
2000-01-23,3,9.9,271,0.0,19.7,26.4,12.9,11.4,13.2,23.7,27.85,6.2
2000-01-24,350,14.9,481,0.0,21.6,25.8,18.6,16.8,13.2,24.1,24.87,5.6
2000-01-25,7,14.0,362,11.8,18.3,20.7,12.3,9.7,13.2,21.0,6.51,8.1
2000-01-26,215,8.2,210,0.0,16.5,22.7,9.3,7.6,13.2,19.7,21.41,8.9
2000-01-27,129,7.7,167,15.1,15.2,18.9,11.2,9.4,13.2,18.4,9.16,12.8
2000-01-28,304,5.1,151,0.0,16.7,21.2,11.9,9.1,13.2,18.8,12.26,12.6
2000-01-29,3,17.0,459,0.0,18.2,22.3,14.2,12.7,13.2,20.0,19.52,11.2
